topic_type,signals,suggested_dimensions,description,frameworks_referenced
technology_selection,"framework,library,SDK,language,tool,platform,ORM,runtime,package","Functional Coverage;Performance & Scalability;Developer Experience;Community & Ecosystem;Learning Curve;Integration with Existing Stack;Long-term Viability & Roadmap;Licensing & Cost;Security Posture;Documentation Quality;TypeScript/Language Support;Migration Path from Current;Hiring & Talent Pool","Choosing between competing technologies for a specific purpose","ISO 25010 (Functional Suitability, Maintainability, Portability)"
architecture_pattern,"microservice,monolith,event-driven,serverless,CQRS,hexagonal,clean architecture,DDD,modular monolith,saga","Scalability (Horizontal/Vertical);Complexity & Cognitive Load;Team Autonomy & Ownership;Data Consistency Model;Operational Overhead;Development Velocity;Testing Complexity (Unit/Integration/E2E);Deployment Independence;Observability & Debugging;Cost at Scale;Failure Isolation & Blast Radius;State Management;Inter-Service Communication Overhead","Choosing architectural patterns for system design","ATAM (Architecture Tradeoff Analysis Method), ISO 25010 (Reliability, Performance Efficiency)"
build_vs_buy,"build,buy,SaaS,self-hosted,managed,custom,third-party,vendor,open-source,COTS","Feature Fit (Current Requirements);Customizability & Extensibility;Total Cost of Ownership (3-5 Year);Vendor Lock-in & Exit Cost;Data Sovereignty & Residency;Time to Market;Maintenance Burden (Ongoing);Security Control & Audit;Integration Effort with Stack;Compliance Fit (Industry-Specific);Strategic Differentiation;Support & SLA Guarantees;API Quality & Documentation","Deciding whether to build custom or use existing solutions","Gartner Build vs Buy Framework, BayTech 6-Factor Framework"
migration_strategy,"migrate,consolidate,merge,move,transition,upgrade,replatform,rehost,refactor","Risk Level (Data Loss/Corruption);Downtime Impact & Tolerance;Data Integrity Validation;Rollback Capability & Plan;Migration Effort (Person-Weeks);Performance Impact During/After;Cost Savings (Projected);Operational Complexity Change;Timeline & Phasing;Team Skills Required;Application Code Changes;Blast Radius per Phase;Backward Compatibility Period","Planning migration or consolidation of systems","AWS 6Rs Migration Framework, Cloud Adoption Framework"
infrastructure,"cloud,hosting,deployment,container,kubernetes,serverless,CDN,CI/CD,GKE,AWS,GCP,Azure,EKS,AKS","Availability & Blast Radius;Performance Isolation (Noisy Neighbor);Backup & Restore (RPO/RTO);Operational Complexity;Scalability & Auto-Scaling;Security & Compliance (SOC2/HIPAA);Cost Model Behavior (Not Just Price);Monitoring & Observability;Disaster Recovery;Vendor Lock-in & Portability;Team Skillset Alignment;Data Residency & Sovereignty;Existing Contracts & Licensing","Infrastructure and deployment decisions","Cloud Adoption Framework (Microsoft), AWS Well-Architected Framework"
api_design,"API,REST,GraphQL,gRPC,webhook,tRPC,OpenAPI,Protobuf,WebSocket,SOAP","Latency (P50/P95/P99);Throughput (Requests/Second);Schema Evolution & Versioning;Error Handling Model;Client Compatibility (Browser/Mobile/Service);Streaming & Real-Time Support;Type Safety & Code Generation;Developer Experience & Tooling;Caching Strategy;Payload Size & Serialization;Contract Testing;Documentation & Discovery","Choosing API design patterns and communication protocols","Richardson Maturity Model, gRPC vs REST comparison studies"
messaging,"Kafka,RabbitMQ,NATS,SQS,Pub/Sub,event bus,message queue,message broker,streaming,AMQP","Throughput (Messages/Second);Latency (P50/P95);Message Ordering Guarantees;Delivery Semantics (At-Least-Once/Exactly-Once);Message Persistence & Retention;Consumer Group & Partition Model;Routing & Filtering Complexity;Dead Letter Handling;Replay & Rewind Capability;Operational Complexity;Horizontal Scaling Model;Cost at Volume;Ecosystem Integration","Evaluating message brokers and event streaming platforms","AWS Kafka vs RabbitMQ comparison, CloudAMQP selection guide"
security_approach,"auth,authentication,authorization,encryption,token,OAuth,OIDC,JWT,SSO,RBAC,ABAC,SAML","Attack Surface Area;Auth System Complexity;Token Security Model;Data Sovereignty;Forward/Replay Protection;Compliance Readiness (SOC2/GDPR/HIPAA);External Auth Dependencies;Audit Trail Capability;Rate Limiting Effectiveness;Implementation Effort;Key/Secret Management;Session Management;Multi-Tenancy Support","Evaluating security architectures and authentication approaches","OWASP Top 10, NIST Authentication Guidelines, ISO 25010 (Security)"
email_interactivity,"email,interactive,AMP,form,submit,reply,inbox,client,Outlook,Gmail,Apple Mail,actionable message,adaptive card","Gmail In-Email Form;Outlook In-Email Form;Apple Mail In-Email Form;Stateful Email (Re-Open Behavior);Fallback Coverage (All Clients);Forward Protection (AC2.3);Auth System Complexity;Token Security (URL Exposure);Data Sovereignty;Offline/Slow Connection UX;Phased Delivery Independence;Vendor Lock-in;Testing Complexity (Client Matrix);External Registration Requirements","Interactive email technology evaluation across email clients","caniemail.com support matrix, AMP for Email spec, Microsoft Actionable Messages spec"
database,"database,PostgreSQL,MongoDB,Redis,MySQL,DynamoDB,Cassandra,SQL,NoSQL,graph,time-series,vector,pgvector","Query Performance (Read Latency);Write Throughput;Data Model Flexibility;ACID Compliance & Consistency;Horizontal Scaling (Sharding);Operational Complexity;Backup & Point-in-Time Recovery;Cost at Scale (Storage + Compute);Ecosystem & Tooling;Team Expertise & Hiring;Schema Evolution & Migrations;Replication & Multi-Region;Connection Pooling & Limits;AI/ML Integration (Vector Search)","Database technology selection","CAP Theorem, PACELC, Google Cloud SQL Best Practices"
